fiscalDateEnding,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,symbol,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,reportedEPS,Sector,Industry
2023-12-31,82166000000.0,62569000000.0,9081000000.0,14060000000.0,3000000.0,6502000000.0,19987000000.0,1488000000.0,6948000000.0,11563000000.0,537000000.0,11026000000.0,22687000000.0,3273000000.0,4979000000.0,2509000000.0,3273000000.0,61115000000.0,48466000000.0,139000000.0,,,1393000000.0,13065000000.0,0.0,21276000000.0,,9676000000.0,21276000000.0,6392000000.0,2973000000.0,21051000000.0,21045000000.0,23200000000.0,0.0,1072000000.0,PYPL,25494000000,29771000000.0,4277000000,16067000000.0,5028000000,3868000000.0,2973000000.0,24743000000,,-347000000.0,480000000.0,347000000.0,356000000.0,49000000.0,846000000.0,226000000.0,5411000000,1165000000,347000000.0,4246000000.0,4428000000.0,5758000000,5984000000.0,4246000000,5.11,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC"
2022-12-31,78624000000.0,57424000000.0,7776000000.0,10868000000.0,17000000.0,8394000000.0,21774000000.0,1730000000.0,6382000000.0,11997000000.0,788000000.0,11209000000.0,22414000000.0,5018000000.0,3092000000.0,1915000000.0,2455000000.0,58350000000.0,45008000000.0,126000000.0,,,151000000.0,10986000000.0,,20836000000.0,569000000.0,10417000000.0,20836000000.0,4055000000.0,2925000000.0,20274000000.0,16079000000.0,18954000000.0,0.0,1136000000.0,PYPL,22489000000,27518000000.0,5029000000,13745000000.0,3837000000,4356000000.0,3253000000.0,23681000000,,-304000000.0,174000000.0,304000000.0,0.0,-37000000.0,846000000.0,471000000.0,3366000000,947000000,304000000.0,2419000000.0,1627000000.0,3670000000,4141000000.0,2419000000,4.13,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC"
2021-12-31,75803000000.0,52574000000.0,5197000000.0,9500000000.0,,5646000000.0,23888000000.0,1909000000.0,5681000000.0,12786000000.0,1332000000.0,11454000000.0,30373000000.0,6797000000.0,4303000000.0,1287000000.0,1737000000.0,54076000000.0,43029000000.0,197000000.0,,,142000000.0,8669000000.0,,27000000000.0,620000000.0,8049000000.0,27000000000.0,2756000000.0,,21727000000.0,11880000000.0,16535000000.0,0.0,1168000000.0,PYPL,20316000000,25371000000.0,5055000000,11375000000.0,4262000000,4559000000.0,3038000000.0,21109000000,,-232000000.0,57000000.0,232000000.0,,-34000000.0,822000000.0,443000000.0,4099000000,-70000000,232000000.0,4169000000.0,4517000000.0,4331000000,4774000000.0,4169000000,4.59,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC"
2020-12-31,70379000000.0,50995000000.0,4794000000.0,13083000000.0,,3346000000.0,20098000000.0,1807000000.0,5202000000.0,10183000000.0,1048000000.0,9135000000.0,24005000000.0,6089000000.0,8289000000.0,1148000000.0,1305000000.0,50316000000.0,38447000000.0,252000000.0,,,144000000.0,9581000000.0,,26900000000.0,642000000.0,8939000000.0,26900000000.0,2648000000.0,,20019000000.0,8507000000.0,12366000000.0,0.0,1172000000.0,PYPL,16933000000,21454000000.0,4521000000,9675000000.0,3289000000,3931000000.0,2642000000.0,18165000000,,-209000000.0,88000000.0,209000000.0,,-17000000.0,738000000.0,451000000.0,5065000000,863000000,209000000.0,4202000000.0,3891000000.0,5274000000,5725000000.0,4202000000,4.05,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC"
2019-12-31,51333000000.0,38495000000.0,7349000000.0,10761000000.0,,4407000000.0,13317000000.0,1693000000.0,4723000000.0,6990000000.0,778000000.0,6212000000.0,13340000000.0,2863000000.0,3412000000.0,800000000.0,1292000000.0,34404000000.0,26919000000.0,232000000.0,,0.0,104000000.0,5368000000.0,,10000000000.0,104000000.0,4965000000.0,10000000000.0,2160000000.0,,16885000000.0,6872000000.0,8342000000.0,0.0,1173000000.0,PYPL,14340000000,17772000000.0,3323000000,8170000000.0,2719000000,3112000000.0,2085000000.0,15053000000,,-115000000.0,197000000.0,115000000.0,17772000000.0,-11000000.0,701000000.0,211000000.0,2998000000,539000000,115000000.0,2459000000.0,2208000000.0,3113000000,3324000000.0,2459000000,3.11,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC"
2018-12-31,43332000000.0,32963000000.0,7575000000.0,9109000000.0,,2845000000.0,10369000000.0,1724000000.0,4183000000.0,7109000000.0,825000000.0,6284000000.0,1056000000.0,971000000.0,1534000000.0,947000000.0,565000000.0,27946000000.0,25904000000.0,281000000.0,,1998000000.0,1998000000.0,2042000000.0,,1998000000.0,1998000000.0,0.0,1998000000.0,2002000000.0,,15386000000.0,5511000000.0,5880000000.0,0.0,1174000000.0,PYPL,9286000000,15451000000.0,4814000000,6855000000.0,2194000000,2764000000.0,1071000000.0,13257000000,,-77000000.0,168000000.0,77000000.0,15451000000.0,4000000.0,627000000.0,0.0,2376000000,319000000,77000000.0,2057000000.0,2277000000.0,2453000000,2453000000.0,2057000000,2.42,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC"
2017-12-31,40774000000.0,32645000000.0,2883000000.0,5695000000.0,6398000000.0,1597000000.0,8131000000.0,1528000000.0,3630000000.0,4507000000.0,168000000.0,4339000000.0,4252000000.0,1961000000.0,2812000000.0,713000000.0,133000000.0,24780000000.0,22863000000.0,257000000.0,,1000000000.0,1000000000.0,1917000000.0,,1000000000.0,1000000000.0,,1000000000.0,1781000000.0,1917000000.0,15994000000.0,2001000000.0,3823000000.0,0.0,1200000000.0,PYPL,8009000000,12108000000.0,4099000000,5430000000.0,2127000000,2283000000.0,953000000.0,10967000000,,-7000000.0,24000000.0,7000000.0,25000000.0,-5000000.0,649000000.0,0.0,2200000000,405000000,7000000.0,1795000000.0,1594000000.0,2207000000,2207000000.0,1795000000,1.91,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC"
2016-12-31,33103000000.0,25733000000.0,1590000000.0,4975000000.0,,5562000000.0,7370000000.0,1482000000.0,3018000000.0,4270000000.0,211000000.0,4059000000.0,4715000000.0,1539000000.0,3385000000.0,833000000.0,79000000.0,18391000000.0,16878000000.0,192000000.0,,,,1513000000.0,,,,,,1523000000.0,1513000000.0,14712000000.0,995000000.0,2069000000.0,0.0,1207000000.0,PYPL,5969000000,9778000000.0,3809000000,4434000000.0,1586000000,1997000000.0,834000000.0,9256000000,,-3000000.0,132000000.0,3000000.0,24000000.0,-11000000.0,574000000.0,724000000.0,1631000000,230000000,3000000.0,1401000000.0,1469000000.0,1634000000,2358000000.0,1401000000,1.5,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC"
2015-12-31,28881000000.0,20648000000.0,1393000000.0,3411000000.0,,4321000000.0,8241000000.0,1344000000.0,2505000000.0,4427000000.0,358000000.0,4069000000.0,4386000000.0,2348000000.0,2018000000.0,655000000.0,114000000.0,15122000000.0,13617000000.0,145000000.0,,,,1505000000.0,,,,,,1211000000.0,,13759000000.0,0.0,668000000.0,0.0,1224000000.0,PYPL,5469000000,8479000000.0,3010000000,3419000000.0,1461000000,1545000000.0,792000000.0,7787000000,,,17000000.0,,40000000.0,27000000.0,515000000.0,608000000.0,1488000000,260000000,,1228000000.0,1109000000.0,1461000000,2069000000.0,1228000000,1.29,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC"
2024-11-02,48228277000.0,5484654000.0,1991342000.0,2363164000.0,1447687000.0,1336331000.0,42743623000.0,3415550000.0,3772438000.0,36495239000.0,9585464000.0,26909775000.0,592560000.0,,371822000.0,337472000.0,749082000.0,13051960000.0,2988280000.0,487457000.0,,947374000.0,547738000.0,10063680000.0,,,399636000.0,6634313000.0,464610000.0,1106070000.0,544489000.0,35176317000.0,,10196612000.0,82718000.0,496296854.0,ADI,5381343000,9439957000.0,6851712000,4045814000.0,2032798000,1068640000.0,1487863000.0,3348545000,78817000.0,,,322227000.0,9427157000.0,-12048000.0,362771000.0,1700000000.0,1777340000,142067000,322227000.0,1635273000.0,1638319000.0,2032798000,3732798000.0,1635273000,6.38,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES
