year,symbol,fiscalDateEnding,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,reportedEPS,Sector,Industry,futureEPS
2004,BLK,2004-12-31,1145235000,867424000.0,457673000.0,457673000.0,15549000.0,,277811000.0,93701000.0,,184110000.0,184110000.0,176924000.0,,,227497000.0,16912000.0,,359714000.0,,,,,,,,4810000.0,,,,210984000.0,,768352000.0,-51354000.0,650016000.0,647000.0,66225373.0,725311000,725311000,427731000,427731000.0,165798000,128738000.0,,553416000,,,,0.0,,,,20686000.0,200438000,52264000,,,,142517000,163203000.0,143141000,2.73,FINANCE,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES",7.05
2005,BLK,2005-12-31,1848000000,1234567000.0,484223000.0,484223000.0,61882000.0,,613433000.0,129451000.0,,483982000.0,483982000.0,176923000.0,,,298668000.0,112098000.0,,916143000.0,,,,,,253791000.0,,253791000.0,,,253791000.0,522637000.0,,922243000.0,-59057000.0,806884000.0,653000.0,67143723.0,1191386000,1191386000,819943000,819943000.0,340541000,204850000.0,,850845000,,,,0.0,,,,30902000.0,375755000,138558000,,,,297403000,328305000.0,233908000,4.04,FINANCE,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES",10.94
2006,BLK,2006-12-31,20469492000,2124670000.0,1160304000.0,1160304000.0,472483000.0,,11354231000.0,214784000.0,,5882430000.0,5882430000.0,5257017000.0,,,2097574000.0,-2210758000.0,,8578520000.0,9435000000.0,,,,,253000000.0,,253167000.0,,,497003000.0,9435000000.0,,10781880000.0,-57354000.0,993821000.0,1174000.0,83693165.0,2097976000,2097976000,1376985000,1376985000.0,471800000,443260000.0,,1626176000,,,,0.0,,,,72809000.0,528233000,189463000,,,,405451000,478260000.0,322602000,5.09,FINANCE,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES",11.85
2007,BLK,2007-12-31,22561515000,3241842000.0,1656200000.0,1656200000.0,395006000.0,,19319673000.0,266460000.0,,6553122000.0,6553122000.0,5519714000.0,,,,174849000.0,,10386350000.0,2289905000.0,,,,300000000.0,8096445000.0,,947021000.0,,,1247021000.0,1200937000.0,,11596955000.0,-371514000.0,1622041000.0,1186000.0,131905682.0,4297035000,4844655000,547620000,547620000.0,1293664000,2765544000.0,,3003371000,,,,49412000.0,,,,198824000.0,1822719000,463832000,,,,1368130000,1566954000.0,995272000,8.2,FINANCE,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES",13.69
2008,BLK,2008-12-31,19924000000,3242000000.0,2032000000.0,2032000000.0,122000000.0,,16682000000.0,260000000.0,,6441000000.0,6441000000.0,5533000000.0,,,,,,7367000000.0,1674000000.0,,,,200000000.0,5693000000.0,,696000000.0,,,1146000000.0,929000000.0,,12066000000.0,-201000000.0,1991000000.0,1000000.0,131904132.0,4466908000,5063908000,597000000,597000000.0,1592597000,1342218000.0,,3432958000,,,,65702000.0,,,,275749000.0,1019052000,387340000,,,,1695671000,1971420000.0,786419000,6.43,FINANCE,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES",16.6
2009,AAPL,2009-09-30,47501000000,31555000000.0,5263000000.0,23464000000.0,455000000.0,3361000000.0,23520000000.0,1780000000.0,1713000000.0,453000000.0,247000000.0,206000000.0,,10528000000.0,18201000000.0,1444000000.0,2011000000.0,15861000000.0,11506000000.0,5601000000.0,,,1948000000.0,4355000000.0,,,,,,3376000000.0,3502000000.0,31640000000.0,,23353000000.0,8210000000.0,899805500.0,17222000000,42905000000,29832000000,25683000000.0,11740000000,4149000000.0,1333000000.0,5482000000,,,,326000000.0,,326000000.0,,606000000.0,12066000000,3831000000,,8235000000.0,8321000000.0,11740000000,12346000000.0,8235000000,0.2225,TECHNOLOGY,ELECTRONIC COMPUTERS,1.6075
2009,ABT,2009-12-31,52581623000,23313891000.0,8809339000.0,11065000000.0,3264877000.0,6541941000.0,29268000000.0,7619489000.0,8867417000.0,19492163000.0,6291989000.0,13200174000.0,546204000.0,1132866000.0,1122709000.0,1210883000.0,1023214000.0,29437329000.0,13049489000.0,1280542000.0,,5189620000.0,4978438000.0,16468405000.0,,11477000000.0,211182000.0,11266294000.0,16455438000.0,6137187000.0,5078444000.0,23144294000.0,3310347000.0,17342694000.0,8257873000.0,1548453000.0,17555400000,30209467000,22493766000,13209329000.0,6235741000,8405904000.0,2913733000.0,12717826000,137779000.0,-519656000.0,,519656000.0,-35584000.0,1375494000.0,1210977000.0,878533000.0,7193774000,1447936000,519656000.0,5745838000.0,7764000000.0,6235741000,8591963000.0,5745838000,3.72,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,2.28
2009,ADBE,2009-11-27,7282237000,2473624000.0,999487000.0,1904473000.0,,410879000.0,4601374000.0,388132000.0,442718000.0,4021977000.0,527388000.0,3494589000.0,150019000.0,63526000.0,904986000.0,158272000.0,191265000.0,2391669000.0,844553000.0,58904000.0,,,46634000.0,1540195000.0,,1000000000.0,,1000000000.0,1260245000.0,457439000.0,27464000.0,4890568000.0,2823914000.0,5299914000.0,61000.0,522657000.0,2649121000,2945853000,296732000,296732000.0,690513000,1280652000.0,565141000.0,1958608000,34978000.0,-3407000.0,,3407000.0,-13420000.0,1070000.0,,282423000.0,701520000,315012000,3407000.0,386508000.0,353732000.0,704927000,987350000.0,386508000,1.54,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,1.31
2009,ADI,2009-10-31,3369407000,2490636000.0,1070000000.0,1815973000.0,253161000.0,301036000.0,907078000.0,476516000.0,1553598000.0,257736000.0,6855000.0,250881000.0,,1485000.0,1176244000.0,120466000.0,35658000.0,840258000.0,386613000.0,107334000.0,,,,453645000.0,,379626000.0,,379626000.0,379626000.0,130001000.0,66097000.0,2529149000.0,,2434446000.0,48645000.0,291861767.0,1118637000,2010814000,1290488000,896271000.0,284817000,333184000.0,446980000.0,833820000,15621000.0,-4094000.0,,4094000.0,,1100000.0,132493000.0,7377000.0,297808000,50036000,4094000.0,247408000.0,533474000.0,301902000,309279000.0,247772000,0.97,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,2.4
2009,AMAT,2009-10-25,9574000000,5688947000.0,1576381000.0,1576381000.0,1627457000.0,1041495000.0,3619946000.0,1090433000.0,1816524000.0,1477348000.0,306416000.0,1170932000.0,,1052165000.0,638349000.0,264169000.0,,2479635000.0,1939457000.0,477148000.0,,1240000.0,1240000.0,540178000.0,,201894000.0,1240000.0,200654000.0,201894000.0,15922000.0,339524000.0,7094000000.0,9046562000.0,10934004000.0,13409000.0,1340917000.0,1431000000,5002534000,4764311000,3583000000.0,-394000000,735000000.0,934000000.0,1825000000,,-21304000.0,-304000.0,21000000.0,-24000000.0,48580000.0,,291000000.0,-486000000,-181000000,21304000.0,-340310000.0,-280000000.0,-465000000,-174000000.0,-305000000,-0.06,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,1.06
