fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,symbol
2024-11-02,USD,48228277000,5484654000.0,1991342000.0,2363164000.0,1447687000.0,1336331000.0,42743623000.0,3415550000.0,3772438000.0,36495239000.0,9585464000.0,26909775000.0,592560000.0,,371822000.0,337472000.0,749082000.0,13051960000.0,2988280000.0,487457000.0,,947374000.0,547738000.0,10063680000.0,,,399636000.0,6634313000.0,464610000.0,1106070000.0,544489000.0,35176317000.0,,10196612000.0,82718000.0,496296854.0,ADI
2023-10-28,USD,48794478000,4384022000.0,958061000.0,958061000.0,1642214000.0,1469734000.0,44410456000.0,3219157000.0,3424775000.0,38225091000.0,11311957000.0,26913134000.0,315980000.0,,0.0,314013000.0,742936000.0,13229356000.0,3200971000.0,493041000.0,,1046276000.0,547224000.0,10028385000.0,64745000.0,5902457000.0,499052000.0,5902457000.0,431656000.0,1251214000.0,581000000.0,35565122000.0,,10356798000.0,82712000.0,496261678.0,ADI
2022-10-29,USD,50302350000,4937992000.0,1470572000.0,1470572000.0,1399914000.0,1800462000.0,45364358000.0,2401304000.0,3148203000.0,40178540000.0,13265406000.0,26913134000.0,454545000.0,122285000.0,454545000.0,267044000.0,519626000.0,13837027000.0,2442655000.0,582160000.0,,0.0,0.0,11394372000.0,53628000.0,6576865000.0,0.0,6548625000.0,6520385000.0,1806867000.0,515363000.0,36465323000.0,,8721325000.0,84880000.0,509295941.0,ADI
2021-10-30,USD,52322071000,5378317000.0,1977964000.0,1977964000.0,1200610000.0,1459056000.0,46943754000.0,1979051000.0,2956246000.0,42185640000.0,15267170000.0,26918470000.0,,127856000.0,,1481374000.0,383938000.0,14329529000.0,2770312000.0,443434000.0,,516663000.0,569239000.0,11559217000.0,52576000.0,6776865000.0,516663000.0,6253212000.0,6762885000.0,1424954000.0,555838000.0,37992542000.0,,7517316000.0,87554000.0,525330672.0,ADI
2020-10-31,USD,21468603000,2517688000.0,1055860000.0,1055860000.0,608260000.0,737536000.0,18895684000.0,1120561000.0,2765095000.0,15928705000.0,3650280000.0,12278425000.0,5427000.0,86729000.0,86729000.0,116032000.0,17830354000.0,9470658000.0,1364986000.0,227273000.0,,0.0,39923000.0,8105672000.0,39923000.0,5115204000.0,0.0,5145102000.0,5115204000.0,1137713000.0,449195000.0,11997945000.0,,7236238000.0,61582000.0,369484899.0,ADI
2019-11-02,USD,21392641000,1985126000.0,648322000.0,648322000.0,609886000.0,635136000.0,18187526000.0,1219989000.0,2591268000.0,16474104000.0,4217224000.0,12256880000.0,0.0,77324000.0,,91782000.0,18187526000.0,9683453000.0,1508632000.0,225270000.0,,299667000.0,299667000.0,8174821000.0,,5192252000.0,299667000.0,5192252000.0,5192252000.0,1208965000.0,239937000.0,11709188000.0,,6899253000.0,61385000.0,368302369.0,ADI
2018-11-03,USD,20438366000,2112126000.0,816591000.0,816591000.0,586760000.0,639717000.0,17171912000.0,1154328000.0,2373497000.0,17030796000.0,4778192000.0,12252604000.0,,28730000.0,,69058000.0,62868000.0,9170193000.0,1051748000.0,260919000.0,,67000000.0,67000000.0,8118445000.0,,6265674000.0,67000000.0,6265674000.0,6265674000.0,590802000.0,112337000.0,11268173000.0,,5982697000.0,61694000.0,370159553.0,ADI
2017-10-28,USD,21141294000,2351338000.0,1047838000.0,1047838000.0,550816000.0,688953000.0,17682652000.0,1107304000.0,2197123000.0,17536880000.0,5319425000.0,12217455000.0,,24838000.0,0.0,63731000.0,56040000.0,10979754000.0,1596332000.0,236629000.0,,300000000.0,300000000.0,9383422000.0,,7802168000.0,300000000.0,7551084000.0,7802168000.0,585731000.0,75500000.0,10161540000.0,,4910939000.0,61441000.0,368635788.0,ADI
2016-10-29,USD,7970278000,4974863000.0,921132000.0,4055793000.0,376555000.0,477609000.0,2359299000.0,636116000.0,2040762000.0,2228484000.0,549368000.0,1679116000.0,25207000.0,21937000.0,3134661000.0,64906000.0,46721000.0,2804660000.0,782934000.0,171439000.0,,0.0,1732177000.0,2021726000.0,,1732177000.0,0.0,1732177000.0,1732177000.0,259957000.0,153466000.0,5165618000.0,,4785799000.0,51363000.0,308170560.0,ADI
2015-10-31,USD,7058777000,4079548000.0,884353000.0,3028928000.0,412314000.0,466527000.0,2335119000.0,644110000.0,1957985000.0,2220043000.0,583517000.0,1636526000.0,813000.0,17482000.0,2144575000.0,171779000.0,40561000.0,1985818000.0,1113585000.0,174247000.0,,374594000.0,374839000.0,872233000.0,,1748336000.0,374839000.0,498497000.0,1748336000.0,264657000.0,125763000.0,5072959000.0,,4437315000.0,52011000.0,312060682.0,ADI
