fiscalDateEnding,reportedEPS,symbol
2024-09-30,1.81,BSX
2023-12-31,2.05,BSX
2022-12-31,1.75,BSX
2021-12-31,1.63,BSX
2020-12-31,0.96,BSX
2019-12-31,1.59,BSX
2018-12-31,1.48,BSX
2017-12-31,1.26,BSX
2016-12-31,1.12,BSX
2015-12-31,0.93,BSX
2014-12-31,0.83,BSX
2013-12-31,0.45,BSX
2012-12-31,0.41,BSX
2011-12-31,0.44,BSX
2010-12-31,0.4,BSX
2009-12-31,0.5,BSX
2008-12-31,0.52,BSX
2007-12-31,0.41,BSX
2006-12-31,0.84,BSX
2005-12-31,1.82,BSX
2004-12-31,1.63,BSX
2003-12-31,0.62,BSX
2002-12-31,0.51,BSX
2001-12-31,0.41,BSX
2000-12-31,0.52,BSX
1999-12-31,0.53,BSX
1998-12-31,0.42,BSX
1997-12-31,0.42,BSX
1996-12-31,0.39,BSX
2024-09-30,2.63,PLD
2023-12-31,3.29,PLD
2022-12-31,4.35,PLD
2021-12-31,3.94,PLD
2020-12-31,2.02,PLD
2019-12-31,2.45,PLD
2018-12-31,2.84,PLD
2017-12-31,2.0,PLD
2016-12-31,2.25,PLD
2015-12-31,1.64,PLD
2014-12-31,1.18,PLD
2013-12-31,0.0669,PLD
2012-12-31,0.3384,PLD
2011-12-31,-0.0792,PLD
2010-12-31,0.0167,PLD
2009-12-31,-0.74,PLD
2008-12-31,-0.71,PLD
2007-12-31,2.94,PLD
2006-12-31,2.3,PLD
2005-12-31,2.84,PLD
2004-12-31,1.41,PLD
2003-12-31,1.4473,PLD
2002-12-31,1.3746,PLD
2001-12-31,1.4652,PLD
2000-12-31,1.4024,PLD
1999-12-31,1.9402,PLD
1998-12-31,1.2649,PLD
2024-09-30,6.41,IBM
2023-12-31,9.61,IBM
2022-12-31,9.12,IBM
2021-12-31,9.97,IBM
2020-12-31,8.67,IBM
2019-12-31,12.81,IBM
2018-12-31,13.82,IBM
2017-12-31,13.65,IBM
2016-12-31,13.6,IBM
2015-12-31,14.93,IBM
2014-12-31,16.27,IBM
2013-12-31,17.03,IBM
2012-12-31,15.3,IBM
2011-12-31,13.49,IBM
2010-12-31,11.58,IBM
2009-12-31,10.01,IBM
2008-12-31,8.96,IBM
2007-12-31,7.19,IBM
2006-12-31,6.09,IBM
2005-12-31,5.34,IBM
2004-12-31,5.07,IBM
2003-12-31,4.34,IBM
2002-12-31,3.9,IBM
2001-12-31,4.44,IBM
2000-12-31,4.45,IBM
1999-12-31,3.71,IBM
1998-12-31,3.32,IBM
1997-12-31,3.09,IBM
1996-12-31,2.77,IBM
2024-09-30,10.79,MA
2023-12-31,12.26,MA
2022-12-31,10.65,MA
2021-12-31,8.41,MA
2020-12-31,6.43,MA
2019-12-31,7.78,MA
2018-12-31,6.49,MA
2017-12-31,4.59,MA
2016-12-31,3.76,MA
2015-12-31,3.46,MA
2014-12-31,3.09,MA
2013-12-31,2.62,MA
2012-12-31,2.21,MA
2011-12-31,1.87,MA
2010-12-31,1.41,MA
2009-12-31,1.12,MA
2008-12-31,0.91,MA
2007-12-31,0.57,MA
2006-12-31,0.3667,MA
2024-09-30,15.56,NFLX
2023-12-31,12.01,NFLX
2022-12-31,9.95,NFLX
2021-12-31,11.24,NFLX
2020-12-31,6.09,NFLX
2019-12-31,4.13,NFLX
2018-12-31,2.68,NFLX
2017-12-31,1.25,NFLX
2016-12-31,0.42,NFLX
2015-12-31,0.31,NFLX
2014-12-31,0.52,NFLX
2013-12-31,0.29,NFLX
2012-12-31,0.05,NFLX
2011-12-31,0.61,NFLX
2010-12-31,0.41,NFLX
2009-12-31,0.28,NFLX
2008-12-31,0.19,NFLX
2007-12-31,0.13,NFLX
2006-12-31,0.1,NFLX
2005-12-31,0.06,NFLX
2004-12-31,0.0739,NFLX
2003-12-31,0.0158,NFLX
2002-12-31,-0.1111,NFLX
2024-09-30,2.95,BX
2023-12-31,3.95,BX
2022-12-31,5.17,BX
2021-12-31,4.77,BX
2020-12-31,2.65,BX
2019-12-31,2.31,BX
2018-12-31,2.36,BX
2017-12-31,2.81,BX
2016-12-31,2.0,BX
2015-12-31,1.82,BX
2014-12-31,3.76,BX
2013-12-31,3.08,BX
2012-12-31,1.72,BX
2011-12-31,1.23,BX
2010-12-31,1.26,BX
2009-12-31,0.63,BX
2008-12-31,-1.03,BX
2007-12-31,0.75,BX
2024-09-30,4.89,C
2023-12-31,5.59,C
2022-12-31,7.21,C
2021-12-31,9.86,C
2020-12-31,5.18,C
2019-12-31,7.84,C
2018-12-31,6.65,C
2017-12-31,5.33,C
2016-12-31,4.72,C
2015-12-31,5.34,C
2014-12-31,3.75,C
2013-12-31,4.38,C
2012-12-31,3.86,C
2011-12-31,3.7,C
2010-12-31,3.5,C
2009-12-31,-2.9,C
2008-12-31,-46.0,C
2007-12-31,7.0,C
2006-12-31,42.5,C
2005-12-31,39.6,C
2004-12-31,40.4,C
2003-12-31,34.3,C
2002-12-31,26.3,C
2001-12-31,28.2,C
2000-12-31,27.76,C
1999-12-31,21.51,C
1998-12-31,12.7,C
1997-12-31,13.2,C
1996-12-31,12.1935,C
2024-09-30,11.94,SPGI
2023-12-31,12.61,SPGI
2022-12-31,11.17,SPGI
2021-12-31,13.7,SPGI
2020-12-31,11.69,SPGI
2019-12-31,9.53,SPGI
2018-12-31,8.5,SPGI
2017-12-31,6.9,SPGI
2016-12-31,5.35,SPGI
2015-12-31,4.53,SPGI
2014-12-31,3.92,SPGI
2013-12-31,3.33,SPGI
2012-12-31,3.44,SPGI
2011-12-31,2.91,SPGI
2010-12-31,2.7,SPGI
2009-12-31,2.36,SPGI
2008-12-31,2.66,SPGI
2007-12-31,3.01,SPGI
2006-12-31,2.52,SPGI
2005-12-31,2.28,SPGI
2004-12-31,1.91,SPGI
2003-12-31,1.64,SPGI
2002-12-31,1.49,SPGI
2001-12-31,1.23,SPGI
2000-12-31,1.21,SPGI
1999-12-31,1.02,SPGI
1998-12-31,0.87,SPGI
1997-12-31,0.73,SPGI
1996-12-31,0.63,SPGI
2024-09-30,1.72,T
2023-12-31,2.41,T
2022-12-31,2.71,T
2021-12-31,3.4,T
2020-12-31,3.18,T
2019-12-31,3.58,T
2018-12-31,3.52,T
2017-12-31,3.05,T
2016-12-31,2.84,T
2015-12-31,2.69,T
2014-12-31,2.51,T
2013-12-31,2.5,T
2012-12-31,2.33,T
2011-12-31,2.2,T
2010-12-31,2.3,T
2009-12-31,2.12,T
2008-12-31,2.81,T
2007-12-31,2.77,T
2006-12-31,2.34,T
2005-12-31,1.72,T
2004-12-31,1.49,T
2003-12-31,1.55,T
2002-12-31,2.25,T
2001-12-31,2.35,T
2000-12-31,2.24,T
1999-12-31,2.33,T
1998-12-31,2.09,T
1997-12-31,1.85,T
1996-12-31,1.73,T
2024-11-30,0.7,NKE
2024-05-31,3.96,NKE
2023-05-31,3.23,NKE
2022-05-31,3.76,NKE
2021-05-31,3.56,NKE
2020-05-31,1.83,NKE
2019-05-31,2.49,NKE
2018-05-31,2.4,NKE
2017-05-31,2.51,NKE
2016-05-31,2.16,NKE
2015-05-31,1.86,NKE
2014-05-31,1.5,NKE
2013-05-31,1.34,NKE
2012-05-31,1.18,NKE
2011-05-31,1.1,NKE
2010-05-31,0.97,NKE
2009-05-31,0.96,NKE
2008-05-31,0.94,NKE
2007-05-31,0.73,NKE
2006-05-31,0.67,NKE
2005-05-31,0.56,NKE
2004-05-31,0.43,NKE
2003-05-31,0.35,NKE
2002-05-31,0.31,NKE
2001-05-31,0.28,NKE
2000-05-31,0.27,NKE
1999-05-31,0.21,NKE
1998-05-31,0.21,NKE
1997-05-31,0.35,NKE
1996-05-31,0.24,NKE
2024-10-31,1.56,PANW
2024-07-31,5.67,PANW
2023-07-31,4.42,PANW
2022-07-31,2.53,PANW
2021-07-31,2.05,PANW
2020-07-31,1.63,PANW
2019-07-31,1.82,PANW
2018-07-31,1.3,PANW
2017-07-31,0.9,PANW
2016-07-31,0.56,PANW
2015-07-31,0.28,PANW
2014-07-31,0.14,PANW
2013-07-31,0.07,PANW
2012-07-31,0.01,PANW
2024-09-30,10.05,V
2023-09-30,8.76,V
2022-09-30,7.51,V
2021-09-30,5.91,V
2020-09-30,5.03,V
2019-09-30,5.45,V
2018-09-30,4.6,V
2017-09-30,3.48,V
2016-09-30,2.84,V
2015-09-30,2.51,V
2014-09-30,2.19,V
2013-09-30,1.87,V
2012-09-30,1.55,V
2011-09-30,1.26,V
2010-09-30,1.01,V
2009-09-30,0.74,V
2008-09-30,0.42,V
2024-09-30,4.96,DIS
2023-09-30,3.77,DIS
2022-09-30,3.53,DIS
