fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,symbol
2023-12-31,USD,14007929000,33723297000.0,19715368000,19715368000.0,6954003000,6110168000.0,2675758000.0,8785926000,,-699826000.0,,699826000.0,-176296000.0,,,14554384000.0,6205405000,797415000,699826000.0,5407990000.0,5401351000.0,6905231000,21508387000.0,5407990000,NFLX
2022-12-31,USD,12447265000,31615550000.0,19168285000,19168285000.0,5632831000,5689393000.0,2711041000.0,8400434000,,-706212000.0,337310000.0,706212000.0,353111000.0,337310000.0,,14362814000.0,5263929000,772005000,706212000.0,4491924000.0,4315113000.0,5970141000,20332955000.0,4491924000,NFLX
2021-12-31,USD,12365161000,29697844000.0,17332683000,17332683000.0,6194509000,5565767000.0,2273885000.0,5565767000,,-765620000.0,411214000.0,765620000.0,430661000.0,411214000.0,,12438779000.0,5840103000,723875000,765620000.0,5116228000.0,5031335000.0,6605723000,19044502000.0,5116228000,NFLX
2020-12-31,USD,9719737000,24996056000.0,15276319000,15276319000.0,4585289000,4751848000.0,1829600000.0,6735848000,,-767499000.0,1385940000.0,767499000.0,-533278000.0,-618441000.0,,10922622000.0,3199349000,437954000,767499000.0,2761395000.0,2829314000.0,3966848000,15507911000.0,2761395000,NFLX
2019-12-31,USD,7716234000,20156447000.0,12440213000,12440213000.0,2604254000,5445831000.0,1673000000.0,7118831000,,-626023000.0,84000000.0,626023000.0,45576000.0,84000000.0,,9403826000.0,2062231000,195315000,626023000.0,1866916000.0,1862977000.0,2688254000,12008080000.0,1866916000,NFLX
2018-12-31,USD,5826803000,15794341000.0,9967538000,9967538000.0,1605226000,4807763000.0,1218000000.0,7869871000,,-420493000.0,41725000.0,420493000.0,73953000.0,41725000.0,,7656457000.0,1226458000,15216000,420493000.0,1211242000.0,1212217000.0,1646951000,9303408000.0,1211242000,NFLX
2017-12-31,USD,3659713000,11692713000.0,8033000000,7659666000.0,838679000,3232690000.0,981000000.0,6130336000,,-238204000.0,115154000.0,238204000.0,-127900000.0,-115154000.0,,6330385000.0,485321000,-73608000,238204000.0,558929000.0,586937000.0,723525000,7169064000.0,558929000,NFLX
2016-12-31,USD,2800768000,8830669000.0,6257462000,6029901000.0,379793000,2411277000.0,768000000.0,4609474000,,-150114000.0,30828000.0,150114000.0,22800000.0,30828000.0,,4924978000.0,260507000,73829000,150114000.0,186678000.0,181421000.0,410621000,5335599000.0,186678000,NFLX
2015-12-31,USD,2188035000,6779511000.0,4591476000,4591476000.0,305826000,1945721000.0,570000000.0,3654626000,,-132716000.0,163941000.0,132716000.0,37300000.0,-31225000.0,,3547045000.0,141885000,19244000,132716000.0,122641000.0,83779000.0,274601000,3852871000.0,122641000,NFLX
2014-12-31,USD,1751896000,5504656000.0,3752760000,3752760000.0,402648000,1410027000.0,398200000.0,2624410000,,-50219000.0,,50219000.0,-8200000.0,-3060000.0,,2781798000.0,349369000,82570000,50219000.0,266799000.0,258778000.0,399588000,3184446000.0,266799000,NFLX
2013-12-31,USD,1257359000,4374562000.0,3117203000,3083256000.0,228347000,1122090000.0,378769000.0,2114200000,,-29142000.0,,29142000.0,-33529000.0,-28131000.0,,2241680000.0,171074000,58671000,54271000.0,112403000.0,113059000.0,200216000,2470027000.0,112403000,NFLX
2012-12-31,USD,983416000,3609282000.0,2652058000,2625866000.0,49992000,981616000.0,329008000.0,1824774000,,-19986000.0,,19986000.0,-4000000.0,474000.0,,45469000.0,30480000,13328000,19986000.0,17152000.0,19365000.0,50466000,95935000.0,17152000,NFLX
2011-12-31,USD,1164676000,3204577000.0,2039901000,1789596000.0,376068000,819675000.0,259033000.0,788608000,,-20025000.0,,20025000.0,0.0,-16546000.0,,43747000.0,359522000,133396000,20025000.0,226126000.0,226082000.0,379547000,423294000.0,226126000,NFLX
